ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
1785,5/6/2023,11:30:00,30,\N,210,0,210,9,0,60,0,0,0,\N,0,0,CONFIRMED,raleigh
1786,5/9/2023,16:30:00,31,\N,962.5,0,1012.5,9,0,100,0,0,50,\N,0,0,CONFIRMED,chapel
1787,5/6/2023,10:00:00,31,\N,735,0,785,9,0,150,0,0,50,\N,0,0,CONFIRMED,durham
1788,5/20/2023,17:00:00,31,\N,722.5,0,772,9,0.5,65,0,0,50,\N,0,0,CONFIRMED,raleigh
1789,9/2/2023,11:00:00,32,\N,3767.5,0,4077.5,9,0,150,0,0,100,\N,210,0,CONFIRMED,raleigh
1790,5/13/2023,16:45:00,32,\N,1010,0,1070,9,45,75,0,0,100,\N,0,5,CONFIRMED,raleigh
1791,5/6/2023,12:00:00,30,\N,120,0,120,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1793,5/8/2023,11:30:00,30,\N,367.5,27.56,395.06,9,0,35,0,0,0,\N,0,0,CONFIRMED,chapel
1794,6/10/2023,17:30:00,32,\N,1517.5,0,1617.5,9,0,60,0,0,100,\N,0,0,CONFIRMED,chapel
1795,5/20/2023,18:00:00,31,\N,350,0,400,9,0,25,0,0,50,\N,0,0,CONFIRMED,chapel
1796,5/11/2023,18:15:00,31,\N,580,0,630,9,0,40,0,0,50,\N,0,0,CONFIRMED,raleigh
1797,5/8/2023,12:00:00,30,\N,550,0,550,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
1798,5/10/2023,17:00:00,31,\N,253.5,19.01,322.51,9,0,25,0,0,50,\N,0,0,CONFIRMED,chapel
1800,5/13/2023,14:30:00,30,\N,212.5,0,212.5,9,0,30,0,0,0,\N,0,0,CONFIRMED,durham
1801,5/13/2023,11:00:00,31,\N,760,0,760,9,50,35,0,0,50,\N,0,0,CONFIRMED,durham
1802,5/13/2023,16:00:00,32,\N,1295,0,1445,9,0,70,0,0,150,\N,0,0,CONFIRMED,chapel
1803,5/7/2023,16:50:00,30,\N,480,0,480,9,0,25,0,0,0,\N,0,0,CONFIRMED,chapel
1804,5/26/2023,17:00:00,32,\N,1575,0,1675,9,0,75,0,0,100,\N,0,0,CONFIRMED,chapel
1805,5/9/2023,17:00:00,31,\N,552.5,41.44,643.94,9,0,20,0,0,50,\N,0,0,CONFIRMED,chapel
1806,5/13/2023,11:15:00,30,\N,385,0,385,9,0,25,0,0,0,\N,0,0,CONFIRMED,raleigh
1807,5/20/2023,16:00:00,31,\N,645,0,695,9,0,45,0,0,50,\N,0,0,CONFIRMED,durham
1809,5/14/2023,17:30:00,31,\N,531,0,580,9,1,50,0,0,50,\N,0,0,CONFIRMED,raleigh
1810,5/15/2023,11:15:00,31,\N,582,43.65,675.65,9,0,30,0,0,50,\N,0,0,CONFIRMED,durham
1811,5/11/2023,18:15:00,31,\N,259,0,309,9,0,20,0,0,50,\N,0,0,CONFIRMED,chapel
1813,5/10/2023,14:15:00,30,\N,373,0,373,9,0,13,0,0,0,\N,0,0,CONFIRMED,durham
1814,5/13/2023,16:45:00,30,\N,535,0,535,9,0,60,0,0,0,\N,0,0,CONFIRMED,raleigh
1815,5/5/2023,10:00:00,31,\N,100,7.5,157.5,9,0,20,0,0,50,\N,0,0,CANCELLED,raleigh
1816,5/10/2023,11:30:00,30,\N,205,15.38,220.38,9,0,25,0,0,0,\N,0,0,CONFIRMED,raleigh
1817,5/13/2023,18:00:00,30,\N,670,50.25,720.25,9,0,25,0,0,0,\N,0,0,CONFIRMED,durham
1818,5/29/2023,12:05:00,32,\N,770,0,870,9,0,30,0,0,100,\N,0,0,CONFIRMED,durham
1819,5/24/2023,16:00:00,32,\N,850,0,950,9,0,50,0,0,100,\N,0,0,CANCELLED,durham
1820,5/13/2023,16:00:00,30,\N,522.5,0,522.5,9,0,25,0,0,0,\N,0,0,CONFIRMED,durham
1821,5/13/2023,12:00:00,30,\N,613,0,613,9,0,25,0,0,0,\N,0,0,CANCELLED,raleigh
1823,5/14/2023,11:30:00,30,\N,673,0,673,9,0,25,0,0,0,\N,0,0,CANCELLED,ch_vip_table
